Temperature,Wind Speed,Precip,Condition,DateTime
6,5.0,0.0,Fair,2022-01-07 03:53:00
9,7.0,0.0,Fair,2022-01-07 04:53:00
13,8.0,0.0,Fair,2022-01-07 05:53:00
14,10.0,0.0,Fair,2022-01-07 06:53:00
14,13.0,0.0,Fair,2022-01-07 07:53:00
14,13.0,0.0,Partly Cloudy,2022-01-07 08:53:00
13,8.0,0.0,Mostly Cloudy,2022-01-07 09:53:00
12,6.0,0.0,Mostly Cloudy,2022-01-07 10:53:00
12,5.0,0.0,Partly Cloudy,2022-01-07 11:53:00
12,5.0,0.0,Partly Cloudy,2022-01-07 12:53:00
12,7.0,0.0,Mostly Cloudy,2022-01-07 13:53:00
12,8.0,0.0,Cloudy,2022-01-07 14:53:00
13,7.0,0.0,Cloudy,2022-01-07 15:53:00
14,7.0,0.0,Cloudy,2022-01-07 16:53:00
15,8.0,0.0,Cloudy,2022-01-07 17:53:00
16,6.0,0.0,Mostly Cloudy,2022-01-07 18:53:00
16,12.0,0.0,Partly Cloudy,2022-01-07 19:53:00
16,12.0,0.0,Partly Cloudy,2022-01-07 20:53:00
18,15.0,0.0,Fair,2022-01-07 21:53:00
18,13.0,0.0,Fair,2022-01-07 22:53:00
18,13.0,0.0,Fair,2022-01-07 23:53:00
18,13.0,0.0,Fair,2022-01-08 00:53:00
19,15.0,0.0,Fair,2022-01-08 01:53:00
21,15.0,0.0,Fair,2022-01-08 02:53:00
24,17.0,0.0,Mostly Cloudy,2022-01-08 03:53:00
24,15.0,0.0,Cloudy,2022-01-08 04:53:00
27,17.0,0.0,Cloudy,2022-01-08 05:53:00
28,14.0,0.0,Cloudy,2022-01-08 06:53:00
29,16.0,0.0,Cloudy,2022-01-08 07:53:00
28,14.0,0.0,Wintry Mix,2022-01-08 08:45:00
28,12.0,0.0,Wintry Mix,2022-01-08 08:53:00
29,10.0,0.0,Wintry Mix,2022-01-08 09:15:00
29,8.0,0.0,Wintry Mix,2022-01-08 09:37:00
29,9.0,0.0,Wintry Mix,2022-01-08 09:53:00
30,8.0,0.0,Wintry Mix,2022-01-08 10:53:00
32,12.0,0.0,Wintry Mix,2022-01-08 11:53:00
33,12.0,0.0,Wintry Mix,2022-01-08 12:53:00
34,12.0,0.0,Light Drizzle,2022-01-08 13:53:00
35,13.0,0.0,Light Drizzle,2022-01-08 14:53:00
35,8.0,0.0,Light Drizzle,2022-01-08 15:53:00
36,7.0,0.0,Cloudy,2022-01-08 18:53:00
36,8.0,0.0,Cloudy,2022-01-08 19:53:00
36,10.0,0.0,Cloudy,2022-01-08 20:53:00
35,10.0,0.0,Cloudy,2022-01-08 21:24:00
35,12.0,0.0,Cloudy,2022-01-08 21:53:00
34,15.0,0.0,Cloudy,2022-01-08 22:53:00
34,9.0,0.0,Cloudy,2022-01-08 23:23:00
34,12.0,0.0,Mostly Cloudy,2022-01-08 23:53:00
33,12.0,0.0,Mostly Cloudy,2022-01-09 00:53:00
32,9.0,0.0,Fair,2022-01-09 01:53:00
29,16.0,0.0,Partly Cloudy,2022-01-09 02:53:00
28,18.0,0.0,Partly Cloudy,2022-01-09 03:53:00
27,20.0,0.0,Partly Cloudy,2022-01-09 04:53:00
25,15.0,0.0,Partly Cloudy,2022-01-09 05:53:00
24,13.0,0.0,Partly Cloudy,2022-01-09 06:53:00
23,17.0,0.0,Fair,2022-01-09 07:53:00
23,12.0,0.0,Fair,2022-01-09 08:53:00
22,9.0,0.0,Fair,2022-01-09 09:53:00
